Site	ID	lat	long	RSL_class	-1030	-980	-930	-880	-830	-780	-730	-680	-630	-580	-530	-480	-430	-380	-330	-280	-230	-180	-130	-80	-30	20	70	120	170	220	270	320	370	420	470	520	570	620	670	720	770	820	870	920	970	1020	1070	1120	1170	1220	1270	1320	1370	1420	1470	1520	1570	1620	1670	1720	1770	1820	1870	1920	1970	2020
Cedar Island	35000	35	-76.4	SDs	102.748	80.588	59.999	41.349	30.198	27.76	24.348	24.454	29.448	31.729	31.695	35.498	36.801	32.262	25.654	22.276	20.499	18.849	18.128	19.907	21.279	19.281	17.637	20.026	21.981	21.893	18.974	16.651	17.302	19.823	21.323	20.22	14.988	13.754	15.964	16.12	15.039	15.352	15.572	16.118	15.887	15.048	14.441	14.024	14.315	17.193	15.815	14.277	16.015	16.734	15.142	14.378	14.084	14.634	14.21	14.257	15.498	15.376	12.048	9.395	7.87	12.169
Nassau	36000	30.6	-81.7	RSLs	-1296.679	-1276.888	-1254.869	-1233.617	-1219.081	-1211.652	-1206.485	-1196.355	-1187.377	-1183.172	-1173.144	-1152.934	-1128.841	-1104.57	-1075.431	-1040.051	-1009.855	-993.941	-980.773	-959.821	-935.363	-912.505	-889.934	-863.943	-840.952	-822.472	-802.235	-782.596	-765.103	-746.47	-729.111	-709.036	-688.835	-675.332	-661.463	-642.714	-624.217	-606.322	-587.125	-568.698	-546.743	-522.187	-499.009	-476.862	-453.66	-432.558	-410.983	-385.562	-359.777	-337.396	-316.845	-295.581	-272.331	-253.892	-238.092	-226.694	-214.893	-202.99	-193.823	-167.695	-74.841	35.442
Nassau	36000	30.6	-81.7	SDs	201.889	189.061	176.288	162.795	147.973	131.45	112.915	92.274	69.884	46.908	27.329	20.001	19.683	19.636	19.725	20.805	22.039	21.902	21.517	21.336	21.246	21.085	20.344	19.105	20.416	21.429	21.295	21.637	22.672	23.406	23.154	22.863	23.349	23.99	23.77	22.909	22.491	22.71	23.083	22.602	21.439	20.314	18.979	18.059	18.598	19.103	20.089	20.58	21.287	22.029	21.132	20.155	19.391	20.447	24.687	30.659	31.685	24.681	13.686	7.508	7.192	12.36
Revere	37000	42.4	-71	RSLs	-2146.285	-2099.234	-2040.655	-1979.005	-1931.928	-1899.955	-1875.491	-1844.695	-1809.229	-1776.726	-1741.421	-1703.049	-1667.286	-1632.544	-1587.763	-1532.336	-1486.396	-1462.059	-1445.995	-1424.931	-1401.735	-1380.391	-1355.841	-1321.256	-1287.741	-1258.601	-1228.603	-1206.849	-1195.93	-1182.094	-1158.41	-1118.794	-1073.842	-1028.542	-968.275	-900.21	-844.164	-795.082	-748.809	-714.989	-696.536	-693.006	-701.909	-709.819	-706.815	-691.837	-662.826	-626.653	-605.886	-601.287	-594.525	-578.929	-551.905	-516.889	-476.628	-442.71	-406.999	-360.226	-302.645	-232.555	-119.843	7.452
Revere	37000	42.4	-71	SDs	151.697	135.991	121.434	107.005	91.517	74.676	56.795	40.185	36.376	48.975	64.23	77.664	88.544	96.529	101.651	104.385	104.715	102.316	97.217	89.48	79.099	66.096	51.353	39.384	40.889	51.628	61.813	69.738	74.761	77.458	78.939	79.382	77.836	73.722	69.022	65.051	62.968	60.018	53.331	43.026	33.92	35.924	47.652	58.998	66.674	69.645	68.026	62.465	54.676	46.967	41.274	36.802	32.808	33.301	36.728	41.009	43.823	41.871	35.72	28.668	23.354	19.828
Wood Island	38000	42.2	-70.8	RSLs	-1947.38	-1900.889	-1841.636	-1778.851	-1731.795	-1701.142	-1679.11	-1651.233	-1618.916	-1590.291	-1559.633	-1526.714	-1497.229	-1469.377	-1431.671	-1383.561	-1345.761	-1330.185	-1323.251	-1311.609	-1297.852	-1285.385	-1268.261	-1238.856	-1208.138	-1179.659	-1148.896	-1126.609	-1116.505	-1104.193	-1081.57	-1042.011	-996.89	-951.341	-890.167	-821.482	-766.133	-718.256	-673.115	-640.739	-624.463	-623.042	-632.967	-639.577	-632.56	-611.06	-573.744	-529.458	-503.712	-497.406	-490.744	-476.646	-453.175	-424.577	-393.274	-370.239	-345.967	-309.631	-261.289	-200.709	-97.118	21.799
Wood Island	38000	42.2	-70.8	SDs	210.79	199.869	190.662	182.442	174.501	166.869	159.877	154.188	151.406	151.766	153.58	155.763	157.734	158.93	159.054	158.25	156.355	152.975	148.077	141.697	133.81	124.349	113.626	102.795	93.487	85.075	75.584	64.829	52.006	37.443	25.537	23.528	24.939	22.441	20.27	22.108	29.237	33.306	30.464	22.61	21.353	30.675	43.862	54.419	60.624	61.61	57.467	48.683	37.101	25.922	20.475	21.666	22.593	21.41	20.735	24.599	28.681	26.797	19.35	10.496	7.48	12.184
Sand Point	39000	35.9	-75.7	RSLs	-3258.514	-3199.729	-3149.689	-3108.569	-3075.993	-3047.843	-3016.886	-2975.049	-2930.947	-2892.823	-2856.169	-2821.916	-2793.998	-2770.156	-2740.456	-2699.526	-2657.743	-2625.136	-2590.909	-2550.319	-2511.019	-2476.125	-2440.644	-2402.331	-2365.98	-2330.082	-2290.173	-2251.412	-2215.342	-2177.629	-2139.108	-2093.062	-2039.439	-1989.8	-1946.893	-1903.531	-1856.436	-1803.866	-1744.941	-1684.866	-1619.541	-1548.274	-1472.038	-1391.554	-1308.529	-1228.244	-1150.866	-1079.233	-1014.973	-962.05	-915.745	-867.745	-815.351	-767.225	-717.67	-662.607	-597.961	-522.858	-435.846	-330.875	-174.331	24.991
Sand Point	39000	35.9	-75.7	SDs	51.016	29.509	21.873	22.494	22.679	21.828	20.984	19.823	19.556	20.246	20.793	22.854	24.062	23.28	21.519	19.879	18.334	17.024	16.643	16.404	16.103	16.605	16.729	16.475	16.275	15.405	15.512	16.099	16.111	16.221	15.213	15.356	17.713	18.531	17.886	16.888	18.337	17.931	17.52	18.859	18.398	16.846	16.209	16.283	15.684	15.581	16.308	17.866	18.635	17.873	17.045	18.171	17.847	16.806	15.416	14.992	13.666	12.5	12.266	11.544	10.403	12.296
Cape May Courthouse	40000	39.1	-74.8	RSLs	-5026.426	-4937.109	-4845.338	-4754.336	-4670.459	-4594.299	-4521.321	-4444.714	-4371.382	-4306.323	-4240.732	-4171.863	-4103.906	-4035.1	-3948.652	-3839.763	-3745.15	-3685.624	-3641.914	-3587.858	-3519.46	-3440.665	-3346.444	-3234.784	-3120.493	-3010.743	-2903.08	-2801.437	-2708.583	-2626.53	-2552.768	-2457.156	-2342.332	-2240.439	-2153.448	-2071.777	-1994.877	-1918.63	-1845.67	-1780.737	-1715.08	-1647.36	-1580.799	-1522.956	-1478.825	-1454.209	-1434.069	-1395.387	-1331.931	-1258.29	-1183.804	-1110.319	-1033.994	-961.706	-890.412	-813.233	-723.834	-630.29	-525.116	-383.113	-174.58	48.911
