Basin,Region,Site,Reference,Indicator,LongLat,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Age,Age_2_er_max,Age_2_er_min,Age_er_max,Age_er_min,Age_er_average,RSL_er_average,site,data_type_id,SiteName,RSL_offset,Age_epoch_id,RSL_old,min_TG_Age,max_Age_proxy,Age_diff,No_TG,data_lm_slope,data_lm_slope_err,ICE6_GIA_slope,ICE5_GIA_slope,GIA_slope,sd_GIA_slope,SL
North Atlantic,Connecticut,East River Marsh,Nydick et al. (1995),foramininifera and plants,41.3_-72.6,41.3,-72.6,-1.61,0.32,0.32,0.965,190,190,0.095,0.095,0.095,0.32,01,ProxyData,"East River Marsh,
 Connecticut",NA,NA,NA,1.965,1.984,0.018999999999999906,FALSE,0.92,4.3078222942643975e-78,0.8715408444404602,0.9556708931922913,-0.1922000051,0.5855309963,-1.8089270052785
North Atlantic,Connecticut,East River Marsh,Nydick et al. (1995),foramininifera and plants,41.3_-72.6,41.3,-72.6,-1.4,0.32,0.32,0.998,214,214,0.107,0.107,0.107,0.32,01,ProxyData,"East River Marsh,
 Connecticut",NA,NA,NA,1.965,1.984,0.018999999999999906,FALSE,0.92,4.3078222942643975e-78,0.8715408444404602,0.9556708931922913,-0.1922000051,0.5855309963,-1.5925844051101998
North Atlantic,Connecticut,East River Marsh,Nydick et al. (1995),foramininifera and plants,41.3_-72.6,41.3,-72.6,-0.63,0.26,0.26,1.323,95,95,0.0475,0.0475,0.0475,0.26,01,ProxyData,"East River Marsh,
 Connecticut",NA,NA,NA,1.965,1.984,0.018999999999999906,FALSE,0.92,4.3078222942643975e-78,0.8715408444404602,0.9556708931922913,-0.1922000051,0.5855309963,-0.7601194034527
North Atlantic,Connecticut,East River Marsh,Nydick et al. (1995),foramininifera and plants,41.3_-72.6,41.3,-72.6,-0.62,0.26,0.26,1.356,86,86,0.043,0.043,0.043,0.26,01,ProxyData,"East River Marsh,
 Connecticut",NA,NA,NA,1.965,1.984,0.018999999999999906,FALSE,0.92,4.3078222942643975e-78,0.8715408444404602,0.9556708931922913,-0.1922000051,0.5855309963,-0.7437768032844
North Atlantic,Connecticut,East River Marsh,Nydick et al. (1995),foramininifera and plants,41.3_-72.6,41.3,-72.6,-0.73,0.26,0.26,1.357,71,71,0.0355,0.0355,0.0355,0.26,01,ProxyData,"East River Marsh,
 Connecticut",NA,NA,NA,1.965,1.984,0.018999999999999906,FALSE,0.92,4.3078222942643975e-78,0.8715408444404602,0.9556708931922913,-0.1922000051,0.5855309963,-0.8535846032793
North Atlantic,Connecticut,East River Marsh,Nydick et al. (1995),foramininifera and plants,41.3_-72.6,41.3,-72.6,-0.43,0.26,0.26,1.485,150,150,0.075,0.075,0.075,0.26,01,ProxyData,"East River Marsh,
 Connecticut",NA,NA,NA,1.965,1.984,0.018999999999999906,FALSE,0.92,4.3078222942643975e-78,0.8715408444404602,0.9556708931922913,-0.1922000051,0.5855309963,-0.5289830026265
North Atlantic,Connecticut,East River Marsh,Nydick et al. (1995),foramininifera and plants,41.3_-72.6,41.3,-72.6,-1.11,0.32,0.32,1.541,102,102,0.051,0.051,0.051,0.32,01,ProxyData,"East River Marsh,
 Connecticut",NA,NA,NA,1.965,1.984,0.018999999999999906,FALSE,0.92,4.3078222942643975e-78,0.8715408444404602,0.9556708931922913,-0.1922000051,0.5855309963,-1.1982198023409
North Atlantic,Connecticut,East River Marsh,Nydick et al. (1995),foramininifera and plants,41.3_-72.6,41.3,-72.6,-0.35,0.26,0.26,1.736,214,214,0.107,0.107,0.107,0.26,01,ProxyData,"East River Marsh,
 Connecticut",NA,NA,NA,1.965,1.984,0.018999999999999906,FALSE,0.92,4.3078222942643975e-78,0.8715408444404602,0.9556708931922913,-0.1922000051,0.5855309963,-0.4007408013464
North Atlantic,Connecticut,East River Marsh,Nydick et al. (1995),foramininifera and plants,41.3_-72.6,41.3,-72.6,-0.8,0.32,0.32,1.802,148,148,0.074,0.074,0.074,0.32,01,ProxyData,"East River Marsh,
 Connecticut",NA,NA,NA,1.965,1.984,0.018999999999999906,FALSE,0.92,4.3078222942643975e-78,0.8715408444404602,0.9556708931922913,-0.1922000051,0.5855309963,-0.8380556010098
North Atlantic,Connecticut,East River Marsh,Nydick et al. (1995),foramininifera and plants,41.3_-72.6,41.3,-72.6,-0.77,0.32,0.32,1.809,141,141,0.0705,0.0705,0.0705,0.32,01,ProxyData,"East River Marsh,
 Connecticut",NA,NA,NA,1.965,1.984,0.018999999999999906,FALSE,0.92,4.3078222942643975e-78,0.8715408444404602,0.9556708931922913,-0.1922000051,0.5855309963,-0.8067102009741001
North Atlantic,Connecticut,East River Marsh,Nydick et al. (1995),foramininifera and plants,41.3_-72.6,41.3,-72.6,-0.35,0.26,0.26,1.809,141,141,0.0705,0.0705,0.0705,0.26,01,ProxyData,"East River Marsh,
 Connecticut",NA,NA,NA,1.965,1.984,0.018999999999999906,FALSE,0.92,4.3078222942643975e-78,0.8715408444404602,0.9556708931922913,-0.1922000051,0.5855309963,-0.38671020097409997
North Atlantic,Connecticut,East River Marsh,Nydick et al. (1995),foramininifera and plants,41.3_-72.6,41.3,-72.6,-0.22,0.26,0.26,1.816,134,134,0.067,0.067,0.067,0.26,01,ProxyData,"East River Marsh,
 Connecticut",NA,NA,NA,1.965,1.984,0.018999999999999906,FALSE,0.92,4.3078222942643975e-78,0.8715408444404602,0.9556708931922913,-0.1922000051,0.5855309963,-0.25536480093839997
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.6_-81.7,30.6,-81.7,0.05,0.07,0.07,2.002,6,11,0.003,0.0055,0.00425,0.07,01,ProxyData,"Nassau,
 Florida",NA,NA,NA,1.898,2.002,0.10399999999999987,FALSE,0.42,8.063192508779487e-68,0.3241365849971771,0.2785170078277588,0.4067999721,0.31096944215,0.04918640005580009
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.6_-81.7,30.6,-81.7,0.03,0.07,0.07,1.99,10,12,0.005,0.006,0.0055,0.07,01,ProxyData,"Nassau,
 Florida",NA,NA,NA,1.898,2.002,0.10399999999999987,FALSE,0.42,8.063192508779487e-68,0.3241365849971771,0.2785170078277588,0.4067999721,0.31096944215,0.034067999721000004
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.6_-81.7,30.6,-81.7,0.01,0.07,0.07,1.98,10,7,0.005,0.0035,0.00425,0.07,01,ProxyData,"Nassau,
 Florida",NA,NA,NA,1.898,2.002,0.10399999999999987,FALSE,0.42,8.063192508779487e-68,0.3241365849971771,0.2785170078277588,0.4067999721,0.31096944215,0.018135999442000006
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.6_-81.7,30.6,-81.7,-0.01,0.07,0.07,1.974,7,11,0.0035,0.0055,0.0045,0.07,01,ProxyData,"Nassau,
 Florida",NA,NA,NA,1.898,2.002,0.10399999999999987,FALSE,0.42,8.063192508779487e-68,0.3241365849971771,0.2785170078277588,0.4067999721,0.31096944215,5.767992746000105e-4
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.6_-81.7,30.6,-81.7,-0.03,0.07,0.07,1.964,11,27,0.0055,0.0135,0.0095,0.07,01,ProxyData,"Nassau,
 Florida",NA,NA,NA,1.898,2.002,0.10399999999999987,FALSE,0.42,8.063192508779487e-68,0.3241365849971771,0.2785170078277588,0.4067999721,0.31096944215,-0.015355201004399984
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.6_-81.7,30.6,-81.7,-0.05,0.07,0.07,1.936,28,15,0.014,0.0075,0.01075,0.07,01,ProxyData,"Nassau,
 Florida",NA,NA,NA,1.898,2.002,0.10399999999999987,FALSE,0.42,8.063192508779487e-68,0.3241365849971771,0.2785170078277588,0.4067999721,0.31096944215,-0.02396480178559998
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.6_-81.7,30.6,-81.7,-0.07,0.07,0.07,1.92,20,15,0.01,0.0075,0.00875,0.07,01,ProxyData,"Nassau,
 Florida",NA,NA,NA,1.898,2.002,0.10399999999999987,FALSE,0.42,8.063192508779487e-68,0.3241365849971771,0.2785170078277588,0.4067999721,0.31096944215,-0.03745600223199998
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.6_-81.7,30.6,-81.7,-0.09,0.07,0.07,1.906,28,11,0.014,0.0055,0.00975,0.07,01,ProxyData,"Nassau,
 Florida",NA,NA,NA,1.898,2.002,0.10399999999999987,FALSE,0.42,8.063192508779487e-68,0.3241365849971771,0.2785170078277588,0.4067999721,0.31096944215,-0.05176080262259996
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.6_-81.7,30.6,-81.7,-0.11,0.07,0.07,1.896,20,18,0.01,0.009,0.0095,0.07,01,ProxyData,"Nassau,
 Florida",NA,NA,NA,1.898,2.002,0.10399999999999987,FALSE,0.42,8.063192508779487e-68,0.3241365849971771,0.2785170078277588,0.4067999721,0.31096944215,-0.06769280290159996
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.6_-81.7,30.6,-81.7,-0.13,0.07,0.07,1.881,16,11,0.008,0.0055,0.00675,0.07,01,ProxyData,"Nassau,
 Florida",NA,NA,NA,1.898,2.002,0.10399999999999987,FALSE,0.42,8.063192508779487e-68,0.3241365849971771,0.2785170078277588,0.4067999721,0.31096944215,-0.0815908033201
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.6_-81.7,30.6,-81.7,-0.15,0.07,0.07,1.87,7,17,0.0035,0.0085,0.006,0.07,01,ProxyData,"Nassau,
 Florida",NA,NA,NA,1.898,2.002,0.10399999999999987,FALSE,0.42,8.063192508779487e-68,0.3241365849971771,0.2785170078277588,0.4067999721,0.31096944215,-0.09711600362700004
