Region,Site,Reference,LongLat,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Age,SiteName,Age_er_max,Age_er_min,Age_er_average,RSL_er_average,site,data_type_id,data_lm_slope,data_lm_slope_err,ICE5_GIA_slope,NI_var_term
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.25,0.07,0.07,1.633,"Nassau,
 Florida",0.027,0.032,0.0295,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,6.681313392183246e-4
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.26,0.07,0.07,1.604,"Nassau,
 Florida",0.021,0.035,0.028,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,5.198522821544767e-4
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.27,0.07,0.07,1.576,"Nassau,
 Florida",0.0205,0.0345,0.0275,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.002285743902542025
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.29,0.07,0.07,1.532,"Nassau,
 Florida",0.028,0.031,0.0295,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.004998877237372156
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.31,0.07,0.07,1.489,"Nassau,
 Florida",0.0295,0.026,0.02775,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.0055694774405579415
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.33,0.07,0.07,1.446,"Nassau,
 Florida",0.0245,0.016,0.02025,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.003992941706843303
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.35,0.07,0.07,1.396,"Nassau,
 Florida",0.015,0.0275,0.02125,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,5.5293734299415036e-5
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.37,0.07,0.07,1.353,"Nassau,
 Florida",0.025,0.034,0.0295,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.002634752110853546
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.39,0.07,0.07,1.31,"Nassau,
 Florida",0.031,0.034,0.0325,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.003711976529444651
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.41,0.07,0.07,1.267,"Nassau,
 Florida",0.0325,0.031,0.03175,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.0032904142786936855
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.43,0.07,0.07,1.224,"Nassau,
 Florida",0.0295,0.025,0.02725,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.0017749997603515742
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.44,0.07,0.07,1.198,"Nassau,
 Florida",0.0275,0.025,0.02625,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,5.27854239632667e-4
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.45,0.07,0.07,1.171,"Nassau,
 Florida",0.029,0.029,0.029,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.0010292307719863148
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.47,0.07,0.07,1.13,"Nassau,
 Florida",0.0335,0.0355,0.0345,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.0039040907701328484
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.48,0.07,0.07,1.11,"Nassau,
 Florida",0.035,0.0365,0.03575,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.00546912626607065
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.49,0.07,0.07,1.089,"Nassau,
 Florida",0.0365,0.0375,0.037,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.0067246461123121725
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.51,0.07,0.07,1.048,"Nassau,
 Florida",0.0395,0.0365,0.038,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.007425288888466303
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.53,0.07,0.07,1.007,"Nassau,
 Florida",0.038,0.0335,0.03575,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.0058083812787136715
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.55,0.07,0.07,0.965,"Nassau,
 Florida",0.0355,0.0265,0.031,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.001778165054741382
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.57,0.07,0.07,0.914,"Nassau,
 Florida",0.033,0.025,0.029,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.0023407142589916764
