Basin,Region,Site,Reference,Indicator,Latitude (°N),Longitude (°E),RSL (m),RSL +1s,RSL -1s,Age (CE),Age +2s,Age -2s
Indian,Kiribati,Multiple,McGregor et al. (2011); Compiled in Woodroffe et al. (2012),coral microatoll,1.980,-157.500,-0.01,0.10,0.05,351,201,204
Indian,Kiribati,Multiple,Woodroffe et al. (2012),coral microatoll,1.980,-157.500,0.03,0.10,0.05,367,176,150
Indian,Kiribati,Multiple,Woodroffe et al. (2012),coral microatoll,1.980,-157.500,0.19,0.10,0.05,379,171,149
Indian,Kiribati,Multiple,Woodroffe et al. (2012),coral microatoll,1.980,-157.500,0.07,0.10,0.05,385,168,149
Indian,Kiribati,Multiple,Woodroffe et al. (2012),coral microatoll,1.980,-157.500,0.09,0.10,0.05,410,162,157
Indian,Kiribati,Multiple,Woodroffe et al. (2012),coral microatoll,1.980,-157.500,0.00,0.10,0.05,454,169,150
Indian,Kiribati,Multiple,Woodroffe et al. (2012),coral microatoll,1.980,-157.500,0.03,0.10,0.05,460,150,169
Indian,Kiribati,Multiple,McGregor et al. (2011); Compiled in Woodroffe et al. (2012),coral microatoll,1.980,-157.500,0.08,0.10,0.05,473,581,581
Indian,Kiribati,Multiple,Woodroffe et al. (2012),coral microatoll,1.980,-157.500,0.18,0.10,0.05,483,152,154
Indian,Kiribati,Multiple,McGregor et al. (2011); Compiled in Woodroffe et al. (2012),coral microatoll,1.980,-157.500,-0.01,0.10,0.05,518,163,184
Indian,Kiribati,Multiple,Woodroffe et al. (2012),coral microatoll,1.980,-157.500,-0.27,0.10,0.05,542,128,134
Indian,Kiribati,Multiple,McGregor et al. (2011); Compiled in Woodroffe et al. (2012),coral microatoll,1.980,-157.500,-0.08,0.10,0.05,670,490,490
Indian,Kiribati,Multiple,Woodroffe et al. (2012),coral microatoll,1.980,-157.500,0.05,0.10,0.05,827,132,146
Indian,Kiribati,Multiple,Woodroffe et al. (2012),coral microatoll,1.980,-157.500,0.00,0.10,0.05,891,149,136
Indian,Kiribati,Multiple,Woodroffe et al. (2012),coral microatoll,1.980,-157.500,-0.06,0.10,0.05,1201,100,138
Indian,Kiribati,Multiple,Woodroffe et al. (2012),coral microatoll,1.980,-157.500,0.00,0.10,0.05,1227,153,99
Indian,Kiribati,Multiple,Woodroffe et al. (2012),coral microatoll,1.980,-157.500,0.00,0.10,0.05,1275,117,131
Indian,Kiribati,Multiple,Woodroffe et al. (2012),coral microatoll,1.980,-157.500,0.00,0.10,0.05,1306,109,115
Indian,Kiribati,Multiple,Woodroffe et al. (2012),coral microatoll,1.980,-157.500,0.00,0.10,0.05,1336,100,101
Indian,Kiribati,Multiple,Woodroffe et al. (2012),coral microatoll,1.980,-157.500,0.00,0.10,0.05,1340,99,99
Indian,Kiribati,Multiple,Woodroffe et al. (2012),coral microatoll,1.980,-157.500,-0.06,0.10,0.05,1343,97,99
Indian,Kiribati,Multiple,Woodroffe et al. (2012),coral microatoll,1.980,-157.500,0.00,0.10,0.05,1359,88,93
Indian,Kiribati,Multiple,Woodroffe et al. (2012),coral microatoll,1.980,-157.500,-0.14,0.10,0.05,1766,115,185
Indian,Kiribati,Multiple,Woodroffe et al. (2012),coral microatoll,1.980,-157.500,-0.14,0.10,0.05,1831,126,120
Indian,Kiribati,Multiple,Woodroffe et al. (2012),coral microatoll,1.980,-157.500,-0.14,0.10,0.05,1860,140,91
Indian,Kiribati,Multiple,Woodroffe et al. (2012),coral microatoll,1.980,-157.500,-0.14,0.10,0.05,1860,140,91
North Atlantic,Connecticut,Barn Island,Donnelly et al. (2004b),plants,41.331,-71.864,-0.91,0.04,0.04,1336,33,33
North Atlantic,Connecticut,Barn Island,Donnelly et al. (2004b),plants,41.331,-71.864,-0.78,0.04,0.04,1413,27,27
North Atlantic,Connecticut,Barn Island,Donnelly et al. (2004b),plants,41.331,-71.864,-0.82,0.04,0.04,1441,41,41
North Atlantic,Connecticut,Barn Island,Donnelly et al. (2004b),plants,41.331,-71.864,-0.69,0.04,0.04,1561,82,82
North Atlantic,Connecticut,Barn Island,Donnelly et al. (2004b),plants,41.331,-71.864,-0.63,0.05,0.05,1570,86,86
North Atlantic,Connecticut,Barn Island,Donnelly et al. (2004b),plants,41.331,-71.864,-0.53,0.05,0.05,1655,27,27
North Atlantic,Connecticut,Barn Island,Donnelly et al. (2004b),plants,41.331,-71.864,-0.47,0.05,0.05,1713,13,13
North Atlantic,Connecticut,Barn Island,Donnelly et al. (2004b),plants,41.331,-71.864,-0.42,0.05,0.05,1789,9,9
North Atlantic,Connecticut,Barn Island,Donnelly et al. (2004b),plants,41.331,-71.864,-0.40,0.05,0.05,1825,25,25
North Atlantic,Connecticut,Barn Island,Donnelly et al. (2004b),plants,41.331,-71.864,-0.32,0.05,0.05,1875,25,25
North Atlantic,Connecticut,East River Marsh,Nydick et al. (1995),foramininifera and plants,41.280,-72.640,-2.03,0.32,0.32,243,160,160
North Atlantic,Connecticut,East River Marsh,Nydick et al. (1995),foramininifera and plants,41.280,-72.640,-1.48,0.26,0.26,330,201,201
North Atlantic,Connecticut,East River Marsh,Nydick et al. (1995),foramininifera and plants,41.280,-72.640,-1.79,0.39,0.39,817,155,155
North Atlantic,Connecticut,East River Marsh,Nydick et al. (1995),foramininifera and plants,41.270,-72.680,-1.44,0.33,0.33,848,138,138
North Atlantic,Connecticut,East River Marsh,Nydick et al. (1995),foramininifera and plants,41.280,-72.650,-1.61,0.32,0.32,965,190,190
North Atlantic,Connecticut,East River Marsh,Nydick et al. (1995),foramininifera and plants,41.280,-72.640,-1.40,0.32,0.32,998,214,214
North Atlantic,Connecticut,East River Marsh,Nydick et al. (1995),foramininifera and plants,41.280,-72.640,-0.63,0.26,0.26,1323,95,95
