Basin,Region,Site,Reference,Indicator,Latitude (°N),Longitude (°E),RSL (m),RSL +1s,RSL -1s,Age (CE),Age +2s,Age -2s
North Atlantic,North Carolina,Sand Point VC,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-2.84,0.08,0.08,-520,82,82
North Atlantic,North Carolina,Sand Point VC,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-2.86,0.08,0.08,-543,78,81
North Atlantic,North Carolina,Sand Point VC,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-2.89,0.08,0.08,-574,68,78
North Atlantic,North Carolina,Sand Point VC,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-2.92,0.08,0.08,-609,54,73
North Atlantic,North Carolina,Sand Point VC,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-2.94,0.08,0.08,-637,57,69
North Atlantic,North Carolina,Sand Point VC,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-2.96,0.08,0.08,-661,64,62
North Atlantic,North Carolina,Sand Point VC,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-2.99,0.08,0.08,-698,80,48
North Atlantic,North Carolina,Sand Point VC,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-3.02,0.08,0.08,-740,97,47
North Atlantic,North Carolina,Sand Point VC,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-3.04,0.08,0.08,-771,89,70
North Atlantic,North Carolina,Sand Point VC,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-3.06,0.08,0.08,-799,88,77
North Atlantic,North Carolina,Sand Point VC,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-3.09,0.08,0.08,-842,88,75
North Atlantic,North Carolina,Sand Point VC,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-3.12,0.08,0.08,-889,80,75
North Atlantic,North Carolina,Sand Point VC,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-3.14,0.08,0.08,-926,72,75
North Atlantic,North Carolina,Sand Point VC,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-3.16,0.08,0.08,-951,74,74
North Atlantic,North Carolina,Sand Point VC,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-3.19,0.08,0.08,-987,78,70
North Atlantic,North Carolina,Sand Point VC,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-3.22,0.08,0.08,-1022,80,62
North Atlantic,North Carolina,Sand Point VC,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-3.24,0.08,0.08,-1046,75,55
North Atlantic,North Carolina,Sand Point VC,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-3.29,0.08,0.08,-1138,85,137
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-0.12,0.06,0.06,2005,0,8
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-0.14,0.06,0.06,1996,5,3
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-0.16,0.06,0.06,1988,5,15
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-0.18,0.06,0.06,1979,11,12
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-0.19,0.06,0.06,1974,13,9
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-0.21,0.06,0.06,1963,14,8
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-0.22,0.06,0.06,1957,8,20
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-0.23,0.06,0.06,1951,10,21
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-0.26,0.06,0.06,1941,14,17
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-0.28,0.06,0.06,1937,15,17
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-0.29,0.06,0.06,1934,16,16
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-0.31,0.06,0.06,1930,17,16
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-0.32,0.06,0.06,1927,18,14
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-0.34,0.06,0.06,1923,17,13
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-0.36,0.06,0.06,1918,17,11
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-0.38,0.06,0.06,1913,13,10
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-0.39,0.06,0.06,1910,11,10
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-0.42,0.06,0.06,1898,8,19
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-0.44,0.06,0.06,1885,13,28
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-0.46,0.06,0.06,1874,20,31
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-0.48,0.06,0.06,1864,24,32
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-0.51,0.06,0.06,1846,32,27
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-0.52,0.06,0.06,1840,32,24
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-0.56,0.06,0.06,1790,26,40
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-0.58,0.06,0.06,1768,24,54
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-0.61,0.06,0.06,1736,46,49
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-0.62,0.06,0.06,1725,55,44
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-0.64,0.06,0.06,1697,75,30
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-0.66,0.06,0.06,1669,85,37
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-0.68,0.06,0.06,1653,75,43
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-0.69,0.06,0.06,1644,72,44
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-0.71,0.06,0.06,1626,57,47
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-0.73,0.06,0.06,1603,36,58
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-0.74,0.06,0.06,1590,29,64
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-0.76,0.06,0.06,1570,34,63
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-0.79,0.06,0.06,1543,45,56
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-0.81,0.06,0.06,1525,54,50
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-0.84,0.06,0.06,1490,55,47
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-0.86,0.06,0.06,1460,50,59
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-0.88,0.06,0.06,1436,50,72
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-0.91,0.06,0.06,1389,35,89
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-0.94,0.06,0.06,1340,65,94
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-0.97,0.06,0.06,1295,86,82
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-0.99,0.06,0.06,1267,95,82
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-1.06,0.06,0.06,1178,63,81
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-1.09,0.06,0.06,1159,68,78
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-1.11,0.06,0.06,1146,71,75
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-1.14,0.06,0.06,1121,78,77
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-1.16,0.06,0.06,1093,85,97
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-1.19,0.06,0.06,1068,81,134
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-1.21,0.06,0.06,1057,77,150
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-1.24,0.06,0.06,1038,66,178
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-1.26,0.06,0.06,983,65,184
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-1.29,0.06,0.06,883,119,144
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-1.31,0.06,0.06,825,139,123
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-1.34,0.06,0.06,745,140,103
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-1.39,0.06,0.06,659,127,114
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-1.42,0.06,0.06,625,125,124
North Atlantic,North Carolina,Tump Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,34.971,-76.380,-1.44,0.06,0.06,605,120,129
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-1.47,0.06,0.06,572,116,128
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-0.92,0.06,0.06,1468,375,107
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-0.96,0.06,0.06,1408,275,68
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-1.00,0.06,0.06,1354,32,49
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-1.04,0.06,0.06,1322,42,29
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-1.08,0.06,0.06,1287,30,49
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-1.12,0.06,0.06,1219,53,105
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-1.16,0.06,0.06,1155,87,88
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-1.20,0.06,0.06,1082,75,86
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-1.24,0.06,0.06,1002,90,112
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-1.28,0.06,0.06,941,112,94
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-1.31,0.06,0.06,895,118,78
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-1.33,0.06,0.06,860,108,71
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-1.35,0.06,0.06,818,90,90
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-1.37,0.06,0.06,789,82,97
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-1.39,0.06,0.06,763,84,91
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-1.42,0.06,0.06,725,93,72
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-1.46,0.06,0.06,672,103,44
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-1.50,0.06,0.06,623,23,38
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-1.54,0.06,0.06,604,27,47
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-1.58,0.06,0.06,586,35,70
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-1.62,0.06,0.06,568,35,94
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-1.66,0.06,0.06,505,55,204
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-1.70,0.06,0.06,434,100,201
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-1.73,0.06,0.06,381,135,179
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-1.75,0.06,0.06,346,156,162
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-1.77,0.06,0.06,312,175,144
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-1.79,0.06,0.06,278,190,124
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-1.82,0.06,0.06,229,201,97
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-1.86,0.06,0.06,153,161,61
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-1.90,0.06,0.06,100,85,64
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-1.94,0.06,0.06,73,80,62
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-1.98,0.06,0.06,46,77,55
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-2.02,0.06,0.06,15,61,49
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-2.06,0.06,0.06,-50,62,102
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-2.10,0.06,0.06,-112,87,83
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-2.12,0.06,0.06,-143,97,79
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-2.14,0.06,0.06,-174,99,85
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-2.16,0.06,0.06,-211,71,90
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-2.18,0.06,0.06,-270,51,54
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-2.20,0.06,0.06,-333,58,82
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-2.24,0.06,0.06,-525,118,142
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-2.28,0.06,0.06,-661,67,124
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-2.32,0.06,0.06,-731,83,62
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-2.36,0.06,0.06,-800,41,220
North Atlantic,North Carolina,Sand Hill Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.000,-76.339,-2.40,0.06,0.06,-1003,151,484
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,0.03,0.11,0.11,2000,3,4
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,0.00,0.13,0.13,1996,3,4
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,0.00,0.10,0.10,1994,2,6
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.06,0.11,0.11,1993,3,6
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.07,0.11,0.11,1990,5,6
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.09,0.10,0.10,1989,6,6
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.10,0.09,0.09,1986,6,5
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.17,0.14,0.14,1984,6,3
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.15,0.11,0.11,1981,5,2
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.18,0.11,0.11,1978,2,2
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.13,0.10,0.10,1977,2,4
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.19,0.09,0.09,1974,1,7
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.22,0.11,0.11,1973,2,10
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.21,0.10,0.10,1972,3,12
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.23,0.09,0.09,1970,3,14
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.22,0.09,0.09,1967,2,13
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.24,0.09,0.09,1962,5,10
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.28,0.14,0.14,1956,8,12
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.30,0.15,0.15,1947,9,10
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.29,0.14,0.14,1941,8,9
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.29,0.21,0.21,1938,2,10
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.37,0.13,0.13,1930,4,13
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.32,0.13,0.13,1926,2,23
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.41,0.15,0.15,1924,2,26
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.41,0.14,0.14,1923,2,27
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.56,0.08,0.08,1912,10,20
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.52,0.11,0.11,1905,14,16
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.38,0.14,0.14,1896,8,13
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.40,0.14,0.14,1890,5,12
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.46,0.13,0.13,1883,6,10
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.44,0.13,0.13,1878,8,9
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.54,0.16,0.16,1875,4,8
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.53,0.15,0.15,1869,4,9
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.51,0.15,0.15,1863,8,8
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.62,0.12,0.12,1859,9,6
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.63,0.11,0.11,1843,15,45
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.66,0.11,0.11,1759,89,0
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.58,0.12,0.12,1750,91,11
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.79,0.09,0.09,1741,93,6
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.75,0.13,0.13,1729,75,22
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.79,0.11,0.11,1724,35,29
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.89,0.09,0.09,1708,14,31
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.90,0.11,0.11,1680,29,15
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.89,0.13,0.13,1661,12,12
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.89,0.16,0.16,1647,13,16
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.96,0.09,0.09,1622,17,37
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.97,0.09,0.09,1604,29,31
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.97,0.11,0.11,1587,37,23
