Basin,Region,Site,Reference,Indicator,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Age,Age_2_er_max,Age_2_er_min,SiteName,Age_er_max,Age_er_min,Age_er_average,RSL_er_average
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.41,0.07,0.07,1.267,65,62,"Nassau,
 Florida",0.0325,0.031,0.03175,0.07
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.43,0.07,0.07,1.224,59,50,"Nassau,
 Florida",0.0295,0.025,0.02725,0.07
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.44,0.07,0.07,1.198,55,50,"Nassau,
 Florida",0.0275,0.025,0.02625,0.07
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.45,0.07,0.07,1.171,58,58,"Nassau,
 Florida",0.029,0.029,0.029,0.07
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.47,0.07,0.07,1.13,67,71,"Nassau,
 Florida",0.0335,0.0355,0.0345,0.07
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.48,0.07,0.07,1.11,70,73,"Nassau,
 Florida",0.035,0.0365,0.03575,0.07
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.49,0.07,0.07,1.089,73,75,"Nassau,
 Florida",0.0365,0.0375,0.037,0.07
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.51,0.07,0.07,1.048,79,73,"Nassau,
 Florida",0.0395,0.0365,0.038,0.07
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.53,0.07,0.07,1.007,76,67,"Nassau,
 Florida",0.038,0.0335,0.03575,0.07
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.55,0.07,0.07,0.965,71,53,"Nassau,
 Florida",0.0355,0.0265,0.031,0.07
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.57,0.07,0.07,0.914,66,50,"Nassau,
 Florida",0.033,0.025,0.029,0.07
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.59,0.07,0.07,0.858,72,77,"Nassau,
 Florida",0.036,0.0385,0.03725,0.07
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.61,0.07,0.07,0.804,81,83,"Nassau,
 Florida",0.0405,0.0415,0.041,0.07
