Basin,Region,Site,Reference,Indicator,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Age,Age_2_er_max,Age_2_er_min,SiteName,Age_er_max,Age_er_min,Age_er_average,RSL_er_average
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.37,0.13,0.13,1.93,4,13,"Cape May Courthouse,
 New Jersey",0.002,0.0065,0.00425,0.13
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.32,0.13,0.13,1.926,2,23,"Cape May Courthouse,
 New Jersey",0.001,0.0115,0.00625,0.13
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.41,0.15,0.15,1.924,2,26,"Cape May Courthouse,
 New Jersey",0.001,0.013,0.007,0.15
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.41,0.14,0.14,1.923,2,27,"Cape May Courthouse,
 New Jersey",0.001,0.0135,0.00725,0.14
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.56,0.08,0.08,1.912,10,20,"Cape May Courthouse,
 New Jersey",0.005,0.01,0.0075,0.08
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.52,0.11,0.11,1.905,14,16,"Cape May Courthouse,
 New Jersey",0.007,0.008,0.0075,0.11
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.38,0.14,0.14,1.896,8,13,"Cape May Courthouse,
 New Jersey",0.004,0.0065,0.00525,0.14
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.4,0.14,0.14,1.89,5,12,"Cape May Courthouse,
 New Jersey",0.0025,0.006,0.00425,0.14
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.46,0.13,0.13,1.883,6,10,"Cape May Courthouse,
 New Jersey",0.003,0.005,0.004,0.13
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.44,0.13,0.13,1.878,8,9,"Cape May Courthouse,
 New Jersey",0.004,0.0045,0.00425,0.13
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.54,0.16,0.16,1.875,4,8,"Cape May Courthouse,
 New Jersey",0.002,0.004,0.003,0.16
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.53,0.15,0.15,1.869,4,9,"Cape May Courthouse,
 New Jersey",0.002,0.0045,0.00325,0.15
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.51,0.15,0.15,1.863,8,8,"Cape May Courthouse,
 New Jersey",0.004,0.004,0.004,0.15
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.62,0.12,0.12,1.859,9,6,"Cape May Courthouse,
 New Jersey",0.0045,0.003,0.00375,0.12
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.63,0.11,0.11,1.843,15,45,"Cape May Courthouse,
 New Jersey",0.0075,0.0225,0.015,0.11
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.66,0.11,0.11,1.759,89,1,"Cape May Courthouse,
 New Jersey",0.0445,5e-4,0.0225,0.11
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.58,0.12,0.12,1.75,91,11,"Cape May Courthouse,
 New Jersey",0.0455,0.0055,0.0255,0.12
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.79,0.09,0.09,1.741,93,6,"Cape May Courthouse,
 New Jersey",0.0465,0.003,0.02475,0.09
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.75,0.13,0.13,1.729,75,22,"Cape May Courthouse,
 New Jersey",0.0375,0.011,0.02425,0.13
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.79,0.11,0.11,1.724,35,29,"Cape May Courthouse,
 New Jersey",0.0175,0.0145,0.016,0.11
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.89,0.09,0.09,1.708,14,31,"Cape May Courthouse,
 New Jersey",0.007,0.0155,0.01125,0.09
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.9,0.11,0.11,1.68,29,15,"Cape May Courthouse,
 New Jersey",0.0145,0.0075,0.011,0.11
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.89,0.13,0.13,1.661,12,12,"Cape May Courthouse,
 New Jersey",0.006,0.006,0.006,0.13
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.89,0.16,0.16,1.647,13,16,"Cape May Courthouse,
 New Jersey",0.0065,0.008,0.00725,0.16
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.96,0.09,0.09,1.622,17,37,"Cape May Courthouse,
 New Jersey",0.0085,0.0185,0.0135,0.09
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.97,0.09,0.09,1.604,29,31,"Cape May Courthouse,
 New Jersey",0.0145,0.0155,0.015,0.09
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-0.97,0.11,0.11,1.587,37,23,"Cape May Courthouse,
 New Jersey",0.0185,0.0115,0.015,0.11
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-1.1,0.13,0.13,1.538,32,43,"Cape May Courthouse,
 New Jersey",0.016,0.0215,0.01875,0.13
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-1.14,0.1,0.1,1.525,36,44,"Cape May Courthouse,
 New Jersey",0.018,0.022,0.02,0.1
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-1.1,0.13,0.13,1.506,44,39,"Cape May Courthouse,
 New Jersey",0.022,0.0195,0.02075,0.13
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-1.38,0.15,0.15,1.32,50,45,"Cape May Courthouse,
 New Jersey",0.025,0.0225,0.02375,0.15
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-1.48,0.09,0.09,1.312,52,40,"Cape May Courthouse,
 New Jersey",0.026,0.02,0.023,0.09
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-1.49,0.12,0.12,1.285,48,31,"Cape May Courthouse,
 New Jersey",0.024,0.0155,0.01975,0.12
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-1.43,0.12,0.12,1.265,11,31,"Cape May Courthouse,
 New Jersey",0.0055,0.0155,0.0105,0.12
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-1.37,0.19,0.19,1.248,17,36,"Cape May Courthouse,
 New Jersey",0.0085,0.018,0.01325,0.19
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-1.49,0.1,0.1,1.227,30,30,"Cape May Courthouse,
 New Jersey",0.015,0.015,0.015,0.1
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-1.32,0.17,0.17,1.205,33,25,"Cape May Courthouse,
 New Jersey",0.0165,0.0125,0.0145,0.17
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-1.33,0.24,0.24,1.187,20,33,"Cape May Courthouse,
 New Jersey",0.01,0.0165,0.01325,0.24
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-1.32,0.15,0.15,1.167,23,49,"Cape May Courthouse,
 New Jersey",0.0115,0.0245,0.018,0.15
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-1.53,0.16,0.16,1.142,39,54,"Cape May Courthouse,
 New Jersey",0.0195,0.027,0.02325,0.16
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-1.56,0.17,0.17,1.118,50,48,"Cape May Courthouse,
 New Jersey",0.025,0.024,0.0245,0.17
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-1.44,0.27,0.27,1.101,54,39,"Cape May Courthouse,
 New Jersey",0.027,0.0195,0.02325,0.27
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-1.59,0.1,0.1,1.051,51,23,"Cape May Courthouse,
 New Jersey",0.0255,0.0115,0.0185,0.1
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-1.56,0.15,0.15,1.033,41,34,"Cape May Courthouse,
 New Jersey",0.0205,0.017,0.01875,0.15
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-1.7,0.1,0.1,1.021,38,32,"Cape May Courthouse,
 New Jersey",0.019,0.016,0.0175,0.1
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-1.7,0.1,0.1,1.003,36,25,"Cape May Courthouse,
 New Jersey",0.018,0.0125,0.01525,0.1
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-1.65,0.24,0.24,0.991,32,25,"Cape May Courthouse,
 New Jersey",0.016,0.0125,0.01425,0.24
North Atlantic,New Jersey,Cape May Courthouse,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.086,-74.812,-1.65,0.19,0.19,0.977,16,32,"Cape May Courthouse,
 New Jersey",0.008,0.016,0.012,0.19
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-1.16,0.13,0.13,1.449,34,6,"Leeds Point,
 New Jersey",0.017,0.003,0.01,0.13
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-1.18,0.11,0.11,1.431,29,50,"Leeds Point,
 New Jersey",0.0145,0.025,0.01975,0.11
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-1.32,0.17,0.17,1.309,50,96,"Leeds Point,
 New Jersey",0.025,0.048,0.0365,0.17
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-1.42,0.14,0.14,1.268,68,109,"Leeds Point,
 New Jersey",0.034,0.0545,0.04425,0.14
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-1.53,0.12,0.12,1.166,113,99,"Leeds Point,
 New Jersey",0.0565,0.0495,0.053,0.12
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-1.67,0.15,0.15,1.009,65,26,"Leeds Point,
 New Jersey",0.0325,0.013,0.02275,0.15
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-1.63,0.15,0.15,0.997,48,21,"Leeds Point,
 New Jersey",0.024,0.0105,0.01725,0.15
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-1.71,0.15,0.15,0.971,33,42,"Leeds Point,
 New Jersey",0.0165,0.021,0.01875,0.15
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-1.76,0.13,0.13,0.954,22,51,"Leeds Point,
 New Jersey",0.011,0.0255,0.01825,0.13
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-1.81,0.12,0.12,0.914,39,52,"Leeds Point,
 New Jersey",0.0195,0.026,0.02275,0.12
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-1.79,0.17,0.17,0.89,28,65,"Leeds Point,
 New Jersey",0.014,0.0325,0.02325,0.17
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-1.75,0.13,0.13,0.873,17,65,"Leeds Point,
 New Jersey",0.0085,0.0325,0.0205,0.13
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-1.89,0.15,0.15,0.844,38,57,"Leeds Point,
 New Jersey",0.019,0.0285,0.02375,0.15
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-1.86,0.12,0.12,0.818,49,48,"Leeds Point,
 New Jersey",0.0245,0.024,0.02425,0.12
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-1.89,0.17,0.17,0.802,51,47,"Leeds Point,
 New Jersey",0.0255,0.0235,0.0245,0.17
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-1.94,0.13,0.13,0.785,46,42,"Leeds Point,
 New Jersey",0.023,0.021,0.022,0.13
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-2.05,0.13,0.13,0.774,29,43,"Leeds Point,
 New Jersey",0.0145,0.0215,0.018,0.13
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-2,0.13,0.13,0.761,13,40,"Leeds Point,
 New Jersey",0.0065,0.02,0.01325,0.13
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-2.02,0.18,0.18,0.734,28,31,"Leeds Point,
 New Jersey",0.014,0.0155,0.01475,0.18
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-2,0.16,0.16,0.721,28,30,"Leeds Point,
 New Jersey",0.014,0.015,0.0145,0.16
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-2.04,0.13,0.13,0.71,26,30,"Leeds Point,
 New Jersey",0.013,0.015,0.014,0.13
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-2.07,0.12,0.12,0.7,23,26,"Leeds Point,
 New Jersey",0.0115,0.013,0.01225,0.12
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-2.1,0.11,0.11,0.676,29,9,"Leeds Point,
 New Jersey",0.0145,0.0045,0.0095,0.11
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-2.12,0.11,0.11,0.664,19,15,"Leeds Point,
 New Jersey",0.0095,0.0075,0.0085,0.11
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-2.14,0.1,0.1,0.631,26,38,"Leeds Point,
 New Jersey",0.013,0.019,0.016,0.1
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-2.19,0.11,0.11,0.589,43,12,"Leeds Point,
 New Jersey",0.0215,0.006,0.01375,0.11
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-2.22,0.12,0.12,0.577,28,12,"Leeds Point,
 New Jersey",0.014,0.006,0.01,0.12
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-2.22,0.13,0.13,0.573,19,19,"Leeds Point,
 New Jersey",0.0095,0.0095,0.0095,0.13
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-2.23,0.12,0.12,0.569,18,27,"Leeds Point,
 New Jersey",0.009,0.0135,0.01125,0.12
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-2.33,0.12,0.12,0.563,15,39,"Leeds Point,
 New Jersey",0.0075,0.0195,0.0135,0.12
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-2.38,0.14,0.14,0.556,15,51,"Leeds Point,
 New Jersey",0.0075,0.0255,0.0165,0.14
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-2.36,0.11,0.11,0.554,15,56,"Leeds Point,
 New Jersey",0.0075,0.028,0.01775,0.11
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-2.44,0.12,0.12,0.549,12,66,"Leeds Point,
 New Jersey",0.006,0.033,0.0195,0.12
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-2.49,0.13,0.13,0.547,8,73,"Leeds Point,
 New Jersey",0.004,0.0365,0.02025,0.13
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-2.45,0.1,0.1,0.531,13,65,"Leeds Point,
 New Jersey",0.0065,0.0325,0.0195,0.1
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-2.47,0.13,0.13,0.509,29,52,"Leeds Point,
 New Jersey",0.0145,0.026,0.02025,0.13
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-2.5,0.09,0.09,0.488,42,38,"Leeds Point,
 New Jersey",0.021,0.019,0.02,0.09
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-2.52,0.1,0.1,0.467,50,22,"Leeds Point,
 New Jersey",0.025,0.011,0.018,0.1
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-2.57,0.11,0.11,0.459,51,17,"Leeds Point,
 New Jersey",0.0255,0.0085,0.017,0.11
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-2.58,0.16,0.16,0.451,49,12,"Leeds Point,
 New Jersey",0.0245,0.006,0.01525,0.16
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-2.66,0.12,0.12,0.443,42,15,"Leeds Point,
 New Jersey",0.021,0.0075,0.01425,0.12
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-2.44,0.12,0.12,0.425,29,31,"Leeds Point,
 New Jersey",0.0145,0.0155,0.015,0.12
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-2.53,0.12,0.12,0.412,27,33,"Leeds Point,
 New Jersey",0.0135,0.0165,0.015,0.12
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-2.48,0.11,0.11,0.407,29,35,"Leeds Point,
 New Jersey",0.0145,0.0175,0.016,0.11
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-2.61,0.17,0.17,0.394,30,42,"Leeds Point,
 New Jersey",0.015,0.021,0.018,0.17
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-2.73,0.14,0.14,0.337,36,40,"Leeds Point,
 New Jersey",0.018,0.02,0.019,0.14
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-2.81,0.16,0.16,0.305,47,36,"Leeds Point,
 New Jersey",0.0235,0.018,0.02075,0.16
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-3.07,0.15,0.15,0.134,60,31,"Leeds Point,
 New Jersey",0.03,0.0155,0.02275,0.15
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-3.42,0.07,0.07,0.059,48,113,"Leeds Point,
 New Jersey",0.024,0.0565,0.04025,0.07
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-3.46,0.08,0.08,0.004,79,125,"Leeds Point,
 New Jersey",0.0395,0.0625,0.051,0.08
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-3.49,0.06,0.06,-0.028,99,124,"Leeds Point,
 New Jersey",0.0495,0.062,0.05575,0.06
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-3.62,0.15,0.15,-0.049,109,116,"Leeds Point,
 New Jersey",0.0545,0.058,0.05625,0.15
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-3.61,0.09,0.09,-0.102,124,94,"Leeds Point,
 New Jersey",0.062,0.047,0.0545,0.09
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-3.7,0.15,0.15,-0.156,123,58,"Leeds Point,
 New Jersey",0.0615,0.029,0.04525,0.15
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-3.65,0.06,0.06,-0.224,55,6,"Leeds Point,
 New Jersey",0.0275,0.003,0.01525,0.06
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-3.81,0.15,0.15,-0.253,45,18,"Leeds Point,
 New Jersey",0.0225,0.009,0.01575,0.15
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-3.75,0.04,0.04,-0.274,44,24,"Leeds Point,
 New Jersey",0.022,0.012,0.017,0.04
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-3.81,0.05,0.05,-0.293,39,36,"Leeds Point,
 New Jersey",0.0195,0.018,0.01875,0.05
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-3.9,0.07,0.07,-0.303,39,34,"Leeds Point,
 New Jersey",0.0195,0.017,0.01825,0.07
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-3.85,0.05,0.05,-0.31,40,32,"Leeds Point,
 New Jersey",0.02,0.016,0.018,0.05
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-3.95,0.08,0.08,-0.321,41,27,"Leeds Point,
 New Jersey",0.0205,0.0135,0.017,0.08
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-3.93,0.09,0.09,-0.328,43,25,"Leeds Point,
 New Jersey",0.0215,0.0125,0.017,0.09
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-3.98,0.07,0.07,-0.339,44,23,"Leeds Point,
 New Jersey",0.022,0.0115,0.01675,0.07
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-3.95,0.08,0.08,-0.347,41,23,"Leeds Point,
 New Jersey",0.0205,0.0115,0.016,0.08
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-4.03,0.07,0.07,-0.393,29,45,"Leeds Point,
 New Jersey",0.0145,0.0225,0.0185,0.07
North Atlantic,New Jersey,Leeds Point,"Kemp et al. (2013), Cahill et al. (2016)","foraminifera, δ13C",39.496,-74.418,-4.05,0.07,0.07,-0.425,12,73,"Leeds Point,
 New Jersey",0.006,0.0365,0.02125,0.07
