Region,Site,Reference,LongLat,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Age,SiteName,Age_er_max,Age_er_min,Age_er_average,RSL_er_average,site,data_type_id,data_lm_slope,data_lm_slope_err,ICE5_GIA_slope
Magdelen Islands,Les Sillons,Barnett et al. (2017),47.5_-61.7,47.5,-61.7,-0.2,0.1,0.1,1.969,"Les Sillons,
 Magdelen Islands",0.004,0.004,0.004,0.1,01,ProxyData,1.23,1.998666917997316e-8,2.1972885131835938
Magdelen Islands,Les Sillons,Barnett et al. (2017),47.5_-61.7,47.5,-61.7,-0.2,0.1,0.1,1.96,"Les Sillons,
 Magdelen Islands",0.005,0.005,0.005,0.1,01,ProxyData,1.23,1.998666917997316e-8,2.1972885131835938
Magdelen Islands,Les Sillons,Barnett et al. (2017),47.5_-61.7,47.5,-61.7,-0.23,0.1,0.1,1.949,"Les Sillons,
 Magdelen Islands",0.005,0.005,0.005,0.1,01,ProxyData,1.23,1.998666917997316e-8,2.1972885131835938
Magdelen Islands,Les Sillons,Barnett et al. (2017),47.5_-61.7,47.5,-61.7,-0.21,0.1,0.1,1.935,"Les Sillons,
 Magdelen Islands",0.007,0.007,0.007,0.1,01,ProxyData,1.23,1.998666917997316e-8,2.1972885131835938
Magdelen Islands,Les Sillons,Barnett et al. (2017),47.5_-61.7,47.5,-61.7,-0.21,0.1,0.1,1.918,"Les Sillons,
 Magdelen Islands",0.01,0.01,0.01,0.1,01,ProxyData,1.23,1.998666917997316e-8,2.1972885131835938
Magdelen Islands,Les Sillons,Barnett et al. (2017),47.5_-61.7,47.5,-61.7,-0.23,0.1,0.1,1.904,"Les Sillons,
 Magdelen Islands",0.013,0.013,0.013,0.1,01,ProxyData,1.23,1.998666917997316e-8,2.1972885131835938
Magdelen Islands,Les Sillons,Barnett et al. (2017),47.5_-61.7,47.5,-61.7,-0.25,0.1,0.1,1.892,"Les Sillons,
 Magdelen Islands",0.016,0.016,0.016,0.1,01,ProxyData,1.23,1.998666917997316e-8,2.1972885131835938
Magdelen Islands,Les Sillons,Barnett et al. (2017),47.5_-61.7,47.5,-61.7,-0.26,0.1,0.1,1.879,"Les Sillons,
 Magdelen Islands",0.016,0.016,0.016,0.1,01,ProxyData,1.23,1.998666917997316e-8,2.1972885131835938
Magdelen Islands,Les Sillons,Barnett et al. (2017),47.5_-61.7,47.5,-61.7,-0.29,0.1,0.1,1.868,"Les Sillons,
 Magdelen Islands",0.016,0.016,0.016,0.1,01,ProxyData,1.23,1.998666917997316e-8,2.1972885131835938
Magdelen Islands,Les Sillons,Barnett et al. (2017),47.5_-61.7,47.5,-61.7,-0.23,0.1,0.1,1.857,"Les Sillons,
 Magdelen Islands",0.016,0.016,0.016,0.1,01,ProxyData,1.23,1.998666917997316e-8,2.1972885131835938
Magdelen Islands,Les Sillons,Barnett et al. (2017),47.5_-61.7,47.5,-61.7,-0.31,0.1,0.1,1.845,"Les Sillons,
 Magdelen Islands",0.016,0.016,0.016,0.1,01,ProxyData,1.23,1.998666917997316e-8,2.1972885131835938
Magdelen Islands,Les Sillons,Barnett et al. (2017),47.5_-61.7,47.5,-61.7,-0.33,0.1,0.1,1.835,"Les Sillons,
 Magdelen Islands",0.015,0.015,0.015,0.1,01,ProxyData,1.23,1.998666917997316e-8,2.1972885131835938
Magdelen Islands,Les Sillons,Barnett et al. (2017),47.5_-61.7,47.5,-61.7,-0.37,0.1,0.1,1.824,"Les Sillons,
 Magdelen Islands",0.013,0.013,0.013,0.1,01,ProxyData,1.23,1.998666917997316e-8,2.1972885131835938
Magdelen Islands,Les Sillons,Barnett et al. (2017),47.5_-61.7,47.5,-61.7,-0.35,0.1,0.1,1.814,"Les Sillons,
 Magdelen Islands",0.012,0.012,0.012,0.1,01,ProxyData,1.23,1.998666917997316e-8,2.1972885131835938
Magdelen Islands,Les Sillons,Barnett et al. (2017),47.5_-61.7,47.5,-61.7,-0.41,0.1,0.1,1.788,"Les Sillons,
 Magdelen Islands",0.014,0.014,0.014,0.1,01,ProxyData,1.23,1.998666917997316e-8,2.1972885131835938
Magdelen Islands,Les Sillons,Barnett et al. (2017),47.5_-61.7,47.5,-61.7,-0.43,0.1,0.1,1.773,"Les Sillons,
 Magdelen Islands",0.013,0.013,0.013,0.1,01,ProxyData,1.23,1.998666917997316e-8,2.1972885131835938
Magdelen Islands,Les Sillons,Barnett et al. (2017),47.5_-61.7,47.5,-61.7,-0.4,0.1,0.1,1.761,"Les Sillons,
 Magdelen Islands",0.015,0.015,0.015,0.1,01,ProxyData,1.23,1.998666917997316e-8,2.1972885131835938
Magdelen Islands,Les Sillons,Barnett et al. (2017),47.5_-61.7,47.5,-61.7,-0.43,0.1,0.1,1.75,"Les Sillons,
 Magdelen Islands",0.015,0.015,0.015,0.1,01,ProxyData,1.23,1.998666917997316e-8,2.1972885131835938
Magdelen Islands,Les Sillons,Barnett et al. (2017),47.5_-61.7,47.5,-61.7,-0.41,0.1,0.1,1.739,"Les Sillons,
 Magdelen Islands",0.016,0.016,0.016,0.1,01,ProxyData,1.23,1.998666917997316e-8,2.1972885131835938
Magdelen Islands,Les Sillons,Barnett et al. (2017),47.5_-61.7,47.5,-61.7,-0.41,0.1,0.1,1.728,"Les Sillons,
 Magdelen Islands",0.015,0.015,0.015,0.1,01,ProxyData,1.23,1.998666917997316e-8,2.1972885131835938
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.07,0.07,0.07,1.995,"Little Manatee River,
 Florida",0.0095,0.0095,0.0095,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.09,0.07,0.07,1.994,"Little Manatee River,
 Florida",0.01,0.01,0.01,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.16,0.07,0.07,1.99,"Little Manatee River,
 Florida",0.0125,0.0125,0.0125,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.17,0.07,0.07,1.973,"Little Manatee River,
 Florida",0.009,0.009,0.009,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.22,0.07,0.07,1.949,"Little Manatee River,
 Florida",0.0075,0.0075,0.0075,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.22,0.07,0.07,1.933,"Little Manatee River,
 Florida",0.0075,0.0075,0.0075,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.27,0.08,0.08,1.919,"Little Manatee River,
 Florida",0.0075,0.0075,0.0075,0.08,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.28,0.07,0.07,1.916,"Little Manatee River,
 Florida",0.008,0.008,0.008,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.3,0.07,0.07,1.914,"Little Manatee River,
 Florida",0.0085,0.0085,0.0085,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.26,0.07,0.07,1.898,"Little Manatee River,
 Florida",0.013,0.013,0.013,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.32,0.08,0.08,1.883,"Little Manatee River,
 Florida",0.02,0.02,0.02,0.08,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.37,0.07,0.07,1.845,"Little Manatee River,
 Florida",0.03,0.03,0.03,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.39,0.08,0.08,1.817,"Little Manatee River,
 Florida",0.0325,0.0325,0.0325,0.08,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.46,0.07,0.07,1.728,"Little Manatee River,
 Florida",0.033,0.033,0.033,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.48,0.07,0.07,1.706,"Little Manatee River,
 Florida",0.031,0.031,0.031,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.48,0.06,0.06,1.681,"Little Manatee River,
 Florida",0.0255,0.0255,0.0255,0.06,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.53,0.07,0.07,1.67,"Little Manatee River,
 Florida",0.024,0.024,0.024,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.5,0.07,0.07,1.649,"Little Manatee River,
 Florida",0.023,0.023,0.023,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.55,0.07,0.07,1.628,"Little Manatee River,
 Florida",0.019,0.019,0.019,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.56,0.07,0.07,1.6,"Little Manatee River,
 Florida",0.0145,0.0145,0.0145,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.56,0.07,0.07,1.589,"Little Manatee River,
 Florida",0.016,0.016,0.016,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.54,0.07,0.07,1.579,"Little Manatee River,
 Florida",0.018,0.018,0.018,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.54,0.07,0.07,1.575,"Little Manatee River,
 Florida",0.019,0.019,0.019,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.55,0.06,0.06,1.562,"Little Manatee River,
 Florida",0.0215,0.0215,0.0215,0.06,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.62,0.06,0.06,1.554,"Little Manatee River,
 Florida",0.0225,0.0225,0.0225,0.06,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.6,0.06,0.06,1.54,"Little Manatee River,
 Florida",0.0205,0.0205,0.0205,0.06,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.6,0.07,0.07,1.518,"Little Manatee River,
 Florida",0.0245,0.0245,0.0245,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.66,0.06,0.06,1.488,"Little Manatee River,
 Florida",0.025,0.025,0.025,0.06,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.66,0.07,0.07,1.473,"Little Manatee River,
 Florida",0.0225,0.0225,0.0225,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.64,0.07,0.07,1.46,"Little Manatee River,
 Florida",0.0205,0.0205,0.0205,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.7,0.07,0.07,1.421,"Little Manatee River,
 Florida",0.0175,0.0175,0.0175,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.71,0.07,0.07,1.373,"Little Manatee River,
 Florida",0.0205,0.0205,0.0205,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.74,0.07,0.07,1.359,"Little Manatee River,
 Florida",0.0225,0.0225,0.0225,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.74,0.07,0.07,1.351,"Little Manatee River,
 Florida",0.0225,0.0225,0.0225,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.74,0.07,0.07,1.307,"Little Manatee River,
 Florida",0.0395,0.0395,0.0395,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.77,0.07,0.07,1.224,"Little Manatee River,
 Florida",0.0645,0.0645,0.0645,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.77,0.07,0.07,1.187,"Little Manatee River,
 Florida",0.0715,0.0715,0.0715,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.8,0.07,0.07,1.116,"Little Manatee River,
 Florida",0.075,0.075,0.075,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.77,0.07,0.07,1.071,"Little Manatee River,
 Florida",0.0695,0.0695,0.0695,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.84,0.08,0.08,0.943,"Little Manatee River,
 Florida",0.042,0.042,0.042,0.08,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.91,0.07,0.07,0.794,"Little Manatee River,
 Florida",0.039,0.039,0.039,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.92,0.07,0.07,0.708,"Little Manatee River,
 Florida",0.058,0.058,0.058,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.93,0.07,0.07,0.576,"Little Manatee River,
 Florida",0.0855,0.0855,0.0855,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.95,0.08,0.08,0.491,"Little Manatee River,
 Florida",0.094,0.094,0.094,0.08,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.97,0.07,0.07,0.459,"Little Manatee River,
 Florida",0.093,0.093,0.093,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.96,0.08,0.08,0.425,"Little Manatee River,
 Florida",0.089,0.089,0.089,0.08,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.96,0.07,0.07,0.374,"Little Manatee River,
 Florida",0.082,0.082,0.082,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.95,0.07,0.07,0.253,"Little Manatee River,
 Florida",0.0515,0.0515,0.0515,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-1,0.07,0.07,0.176,"Little Manatee River,
 Florida",0.0305,0.0305,0.0305,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-1.03,0.07,0.07,0.139,"Little Manatee River,
 Florida",0.0345,0.0345,0.0345,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-1.06,0.07,0.07,0.099,"Little Manatee River,
 Florida",0.0305,0.0305,0.0305,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-1.11,0.07,0.07,0.058,"Little Manatee River,
 Florida",0.0295,0.0295,0.0295,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-1.07,0.07,0.07,-0.017,"Little Manatee River,
 Florida",0.0345,0.0345,0.0345,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-1.1,0.07,0.07,-0.033,"Little Manatee River,
 Florida",0.0355,0.0355,0.0355,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-1.1,0.07,0.07,-0.084,"Little Manatee River,
 Florida",0.0365,0.0365,0.0365,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-1.11,0.07,0.07,-0.112,"Little Manatee River,
 Florida",0.0285,0.0285,0.0285,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-1.15,0.07,0.07,-0.124,"Little Manatee River,
 Florida",0.025,0.025,0.025,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-1.13,0.07,0.07,-0.14,"Little Manatee River,
 Florida",0.021,0.021,0.021,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-1.1,0.07,0.07,-0.156,"Little Manatee River,
 Florida",0.018,0.018,0.018,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.99,0.07,0.07,-0.16,"Little Manatee River,
 Florida",0.018,0.018,0.018,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-1.1,0.07,0.07,-0.172,"Little Manatee River,
 Florida",0.0215,0.0215,0.0215,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-1.08,0.06,0.06,-0.192,"Little Manatee River,
 Florida",0.029,0.029,0.029,0.06,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-1.06,0.07,0.07,-0.209,"Little Manatee River,
 Florida",0.035,0.035,0.035,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-1.08,0.07,0.07,-0.221,"Little Manatee River,
 Florida",0.0385,0.0385,0.0385,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-1.03,0.07,0.07,-0.231,"Little Manatee River,
 Florida",0.0415,0.0415,0.0415,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-0.99,0.08,0.08,-0.273,"Little Manatee River,
 Florida",0.055,0.055,0.055,0.08,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-1.06,0.07,0.07,-0.304,"Little Manatee River,
 Florida",0.063,0.063,0.063,0.07,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-1.01,0.08,0.08,-0.327,"Little Manatee River,
 Florida",0.0705,0.0705,0.0705,0.08,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Florida,Little Manatee River,Gerlach et al. (2017),27.7_-82.5,27.7,-82.5,-1.01,0.08,0.08,-0.343,"Little Manatee River,
 Florida",0.076,0.076,0.076,0.08,01,ProxyData,0.28,1.3319393807151497e-31,0.14288580417633057
Newfoundland,Big River Marsh,Kemp et al. (2018),48.6_-58.8,48.6,-58.8,0,0.07,0.07,1.999,"Big River Marsh,
 Newfoundland",5e-4,0.011,0.00575,0.07,01,ProxyData,0.87,1.0007288453372061e-82,0.5952751040458679
Newfoundland,Big River Marsh,Kemp et al. (2018),48.6_-58.8,48.6,-58.8,-0.07,0.08,0.08,1.999,"Big River Marsh,
 Newfoundland",5e-4,0.012,0.00625,0.08,01,ProxyData,0.87,1.0007288453372061e-82,0.5952751040458679
Newfoundland,Big River Marsh,Kemp et al. (2018),48.6_-58.8,48.6,-58.8,-0.08,0.08,0.08,1.999,"Big River Marsh,
 Newfoundland",5e-4,0.013,0.00675,0.08,01,ProxyData,0.87,1.0007288453372061e-82,0.5952751040458679
Newfoundland,Big River Marsh,Kemp et al. (2018),48.6_-58.8,48.6,-58.8,-0.04,0.07,0.07,1.999,"Big River Marsh,
 Newfoundland",5e-4,0.014012499999999999,0.00725625,0.07,01,ProxyData,0.87,1.0007288453372061e-82,0.5952751040458679
Newfoundland,Big River Marsh,Kemp et al. (2018),48.6_-58.8,48.6,-58.8,-0.11,0.11,0.11,1.999,"Big River Marsh,
 Newfoundland",5e-4,0.015,0.00775,0.11,01,ProxyData,0.87,1.0007288453372061e-82,0.5952751040458679
Newfoundland,Big River Marsh,Kemp et al. (2018),48.6_-58.8,48.6,-58.8,-0.21,0.13,0.13,1.9915,"Big River Marsh,
 Newfoundland",0.0045,0.0115,0.008,0.13,01,ProxyData,0.87,1.0007288453372061e-82,0.5952751040458679
Newfoundland,Big River Marsh,Kemp et al. (2018),48.6_-58.8,48.6,-58.8,-0.16,0.08,0.08,1.9795,"Big River Marsh,
 Newfoundland",0.0095,0.0085,0.009,0.08,01,ProxyData,0.87,1.0007288453372061e-82,0.5952751040458679
Newfoundland,Big River Marsh,Kemp et al. (2018),48.6_-58.8,48.6,-58.8,-0.2,0.09,0.09,1.969,"Big River Marsh,
 Newfoundland",0.012025000000000001,0.005,0.0085125,0.09,01,ProxyData,0.87,1.0007288453372061e-82,0.5952751040458679
Newfoundland,Big River Marsh,Kemp et al. (2018),48.6_-58.8,48.6,-58.8,-0.17,0.09,0.09,1.962,"Big River Marsh,
 Newfoundland",0.007,0.004,0.0055,0.09,01,ProxyData,0.87,1.0007288453372061e-82,0.5952751040458679
Newfoundland,Big River Marsh,Kemp et al. (2018),48.6_-58.8,48.6,-58.8,-0.16,0.06,0.06,1.958,"Big River Marsh,
 Newfoundland",0.006,0.0035,0.00475,0.06,01,ProxyData,0.87,1.0007288453372061e-82,0.5952751040458679
Newfoundland,Big River Marsh,Kemp et al. (2018),48.6_-58.8,48.6,-58.8,-0.28,0.11,0.11,1.955,"Big River Marsh,
 Newfoundland",0.0045,0.0095,0.007,0.11,01,ProxyData,0.87,1.0007288453372061e-82,0.5952751040458679
Newfoundland,Big River Marsh,Kemp et al. (2018),48.6_-58.8,48.6,-58.8,-0.26,0.11,0.11,1.942,"Big River Marsh,
 Newfoundland",0.0075,0.019012499999999998,0.013256249999999999,0.11,01,ProxyData,0.87,1.0007288453372061e-82,0.5952751040458679
Newfoundland,Big River Marsh,Kemp et al. (2018),48.6_-58.8,48.6,-58.8,-0.22,0.1,0.1,1.904,"Big River Marsh,
 Newfoundland",0.0205,0.0155,0.018,0.1,01,ProxyData,0.87,1.0007288453372061e-82,0.5952751040458679
Newfoundland,Big River Marsh,Kemp et al. (2018),48.6_-58.8,48.6,-58.8,-0.24,0.07,0.07,1.875,"Big River Marsh,
 Newfoundland",0.0165,0.007,0.01175,0.07,01,ProxyData,0.87,1.0007288453372061e-82,0.5952751040458679
Newfoundland,Big River Marsh,Kemp et al. (2018),48.6_-58.8,48.6,-58.8,-0.26,0.06,0.06,1.864,"Big River Marsh,
 Newfoundland",0.008,0.0065,0.00725,0.06,01,ProxyData,0.87,1.0007288453372061e-82,0.5952751040458679
Newfoundland,Big River Marsh,Kemp et al. (2018),48.6_-58.8,48.6,-58.8,-0.27,0.07,0.07,1.855,"Big River Marsh,
 Newfoundland",0.0075,0.009,0.00825,0.07,01,ProxyData,0.87,1.0007288453372061e-82,0.5952751040458679
Newfoundland,Big River Marsh,Kemp et al. (2018),48.6_-58.8,48.6,-58.8,-0.28,0.07,0.07,1.844,"Big River Marsh,
 Newfoundland",0.008012499999999999,0.0130125,0.0105125,0.07,01,ProxyData,0.87,1.0007288453372061e-82,0.5952751040458679
Newfoundland,Big River Marsh,Kemp et al. (2018),48.6_-58.8,48.6,-58.8,-0.34,0.09,0.09,1.832,"Big River Marsh,
 Newfoundland",0.0085125,0.0220125,0.0152625,0.09,01,ProxyData,0.87,1.0007288453372061e-82,0.5952751040458679
Newfoundland,Big River Marsh,Kemp et al. (2018),48.6_-58.8,48.6,-58.8,-0.34,0.07,0.07,1.82,"Big River Marsh,
 Newfoundland",0.009,0.0255125,0.01725625,0.07,01,ProxyData,0.87,1.0007288453372061e-82,0.5952751040458679
Newfoundland,Big River Marsh,Kemp et al. (2018),48.6_-58.8,48.6,-58.8,-0.39,0.08,0.08,1.802,"Big River Marsh,
 Newfoundland",0.0115,0.0305,0.021,0.08,01,ProxyData,0.87,1.0007288453372061e-82,0.5952751040458679
