RSL,lwr,upr,lwr_50,upr_50,Age,SiteName,ID
0.2734853406638687,0.021067695214073694,0.5252231169958619,0.19233945789125373,0.3546768451321,1.336,"Barn Island,
 Connecticut",Regional Component
0.08702527151180761,-0.11349336019493288,0.3069281380492937,0.015661279347085895,0.15530470725490653,1.413,"Barn Island,
 Connecticut",Regional Component
-0.00563877102813803,-0.23833338445731037,0.2333423118307562,-0.08211951278974688,0.0714362058468011,1.441,"Barn Island,
 Connecticut",Regional Component
0.06967892718961895,-0.14034334371710416,0.2892327720147847,-0.005769467113608612,0.1422460671516735,1.561,"Barn Island,
 Connecticut",Regional Component
0.10533879287426225,-0.09733589701636057,0.3190818605315948,0.030418707922241606,0.1739859925562023,1.57,"Barn Island,
 Connecticut",Regional Component
0.26886296404635107,0.03507003249674439,0.49941715223823285,0.19242817600956175,0.3463898745512941,1.655,"Barn Island,
 Connecticut",Regional Component
0.16275652471073443,-0.0032804035991231334,0.3305445500209504,0.10555808929417529,0.22222507595732488,1.713,"Barn Island,
 Connecticut",Regional Component
0.08474123953147758,-0.14690183346745198,0.30881526246494795,0.008603993335972818,0.16254174010117511,1.789,"Barn Island,
 Connecticut",Regional Component
0.2063710485880415,-0.028921292104670003,0.4334540694720798,0.1247614490337477,0.28799272957904837,1.825,"Barn Island,
 Connecticut",Regional Component
0.5450334429066301,0.26771860400548175,0.8091582587885358,0.450170010553664,0.6410793117650108,1.875,"Barn Island,
 Connecticut",Regional Component
0.1035575020594399,-0.1237281398108861,0.3522930957419178,0.021007079440717877,0.18478168368956718,0.243,"East River Marsh,
 Connecticut",Regional Component
0.011444852191553863,-0.23453159301207577,0.26686193284724974,-0.07412867695063811,0.09449856685294666,0.33,"East River Marsh,
 Connecticut",Regional Component
-0.10493105906264744,-0.2945297657993935,0.08920452724785956,-0.17180461481097184,-0.03647091312193643,0.817,"East River Marsh,
 Connecticut",Regional Component
0.015818930316536584,-0.24146101698331943,0.2713461990251213,-0.06677728939246952,0.09804509798966823,0.848,"East River Marsh,
 Connecticut",Regional Component
0.005110599082481409,-0.22924422373039174,0.24800052840867137,-0.07664071272595666,0.08538759663176221,0.965,"East River Marsh,
 Connecticut",Regional Component
-0.08140287261769574,-0.35117859252017425,0.18886764568310868,-0.17233584939534652,0.011650299648222387,0.998,"East River Marsh,
 Connecticut",Regional Component
0.2847207653879595,0.0415407346563522,0.521976147099547,0.20591679120539447,0.3622241307740258,1.323,"East River Marsh,
 Connecticut",Regional Component
0.24476750869416053,-0.004040033845764077,0.5017579998890649,0.16090982383401242,0.32673490759538515,1.356,"East River Marsh,
 Connecticut",Regional Component
0.2429678537222931,-0.004830659261698866,0.5002667084731456,0.15909052523598535,0.324792507072477,1.357,"East River Marsh,
 Connecticut",Regional Component
-0.0687603096900289,-0.34224023290430106,0.21881659119582883,-0.16398042509961322,0.023541714522765832,1.485,"East River Marsh,
 Connecticut",Regional Component
0.0028708601849336823,-0.24081810165146011,0.253472271281303,-0.07988333845803239,0.08620458445874757,1.541,"East River Marsh,
 Connecticut",Regional Component
0.09356514829141384,-0.07684588132990697,0.26713397203853206,0.03269065412514002,0.15263736068855854,1.736,"East River Marsh,
 Connecticut",Regional Component
0.11675319029553594,-0.12424281196402914,0.34595468801706075,0.038950285179899825,0.19693297817169825,1.802,"East River Marsh,
 Connecticut",Regional Component
0.13956694793772947,-0.0996603832034353,0.3699006154022743,0.05956809327534286,0.22046024539741255,1.809,"East River Marsh,
 Connecticut",Regional Component
0.13956694793772947,-0.0996603832034353,0.3699006154022743,0.05956809327534286,0.22046024539741255,1.809,"East River Marsh,
 Connecticut",Regional Component
0.16628429294916053,-0.07196397990984373,0.3942142528287946,0.08533500329164029,0.24614866035218275,1.816,"East River Marsh,
 Connecticut",Regional Component
1.878994625606226,1.4292697938600958,2.347231482486428,1.7192268332162155,2.037252767235853,2.002,"Nassau,
 Florida",Regional Component
1.7314130087682322,1.3347352113831963,2.145617222315677,1.592678640006854,1.8745480061959938,1.99,"Nassau,
 Florida",Regional Component
1.6118614280681247,1.2498488727871389,1.9779747964847898,1.4851124429146394,1.7441145874213944,1.98,"Nassau,
 Florida",Regional Component
1.541628559647293,1.1920167558361825,1.8946828970724614,1.4204377794260383,1.665642499144814,1.974,"Nassau,
 Florida",Regional Component
1.4270705789446279,1.0894756564963386,1.7779142299600161,1.3125292933713242,1.5428586456451794,1.964,"Nassau,
 Florida",Regional Component
1.1229119529686593,0.7858070577648537,1.4451586952384368,1.0154617594908575,1.232032155956098,1.936,"Nassau,
 Florida",Regional Component
0.9600929438339051,0.6279270377073591,1.2752943758645654,0.8534708154436326,1.0708134745657942,1.92,"Nassau,
 Florida",Regional Component
0.824180410837638,0.49544792498694806,1.1263414930099978,0.7183862889499936,0.9333881305736008,1.906,"Nassau,
 Florida",Regional Component
0.7308452301241006,0.41895370964429546,1.0255928986365994,0.6291704164187476,0.8353906705541865,1.896,"Nassau,
 Florida",Regional Component
0.5966943340507979,0.3101458564547741,0.8710306492946429,0.4997157390346958,0.6965442163915513,1.881,"Nassau,
 Florida",Regional Component
0.5031101000506429,0.23678301371520982,0.7593396518262224,0.41303236207365135,0.5969034764392862,1.87,"Nassau,
 Florida",Regional Component
0.4085636977717189,0.16278256513882988,0.6490335798820259,0.3219283750892548,0.49524107294554887,1.858,"Nassau,
 Florida",Regional Component
0.24478318660957568,0.037181408354180254,0.45011964206094296,0.17151533562550397,0.3156817991716852,1.68,"Nassau,
 Florida",Regional Component
