RSL,lwr,upr,lwr_50,upr_50,Age,SiteName,ID
0.16521336834098801,-0.07121405236484622,0.40083467678987755,0.08360402433921375,0.25009329423616566,1.336,"Barn Island,
 Connecticut",Total Component
-0.17889462995702057,-0.3469749689989591,-0.0016055543004068905,-0.23990143473672254,-0.11838800200813274,1.413,"Barn Island,
 Connecticut",Total Component
-0.3288851921864022,-0.5036456020472606,-0.14467879928338406,-0.39306122586227465,-0.2651583000962076,1.441,"Barn Island,
 Connecticut",Total Component
-0.33649302480593574,-0.4961078999672327,-0.1728186024533164,-0.39175782839912265,-0.2847343818646057,1.561,"Barn Island,
 Connecticut",Total Component
-0.28532511615859446,-0.440342474612807,-0.1313061303959025,-0.33641645023241384,-0.23598371838620608,1.57,"Barn Island,
 Connecticut",Total Component
0.024663905216751977,-0.17484213526979406,0.22099877218100755,-0.04444278144537442,0.09448391401723963,1.655,"Barn Island,
 Connecticut",Total Component
0.01849818719630185,-0.12134785664841136,0.15335199562994387,-0.026047781302580134,0.06394814923143874,1.713,"Barn Island,
 Connecticut",Total Component
0.0714397092576061,-0.11369577540560868,0.24460425364395566,0.008442043854107977,0.13202199801771697,1.789,"Barn Island,
 Connecticut",Total Component
0.25510169016496304,0.08561460530965982,0.40959380757724106,0.20125743123901196,0.31165784257813545,1.825,"Barn Island,
 Connecticut",Total Component
0.6799198787207628,0.525290008190877,0.8287039503267292,0.6279738308809775,0.7352964732562917,1.875,"Barn Island,
 Connecticut",Total Component
0.04257118493354177,-0.19523741106862824,0.2809582940736902,-0.04186427190688151,0.12558394088945116,0.243,"East River Marsh,
 Connecticut",Total Component
-0.14078299565360242,-0.3858807600086287,0.10749165198053416,-0.22200029336295377,-0.0585238727976023,0.33,"East River Marsh,
 Connecticut",Total Component
-0.09350039046906503,-0.2778343670339901,0.09566302373546713,-0.15805240258125258,-0.031027835296733815,0.817,"East River Marsh,
 Connecticut",Total Component
0.06362273478967698,-0.17693517889618254,0.3154471534479025,-0.019746908155734058,0.14758504419164203,0.848,"East River Marsh,
 Connecticut",Total Component
0.19019365832685403,-0.02628887039566752,0.41688409210557315,0.1077904467871727,0.2683011884694002,0.965,"East River Marsh,
 Connecticut",Total Component
0.14239997643394944,-0.11590846537156854,0.4180616862393971,0.047976100602499884,0.2402794624244839,0.998,"East River Marsh,
 Connecticut",Total Component
0.28798516329068435,0.06159914413128679,0.514923688102508,0.20965798220682497,0.3648099315625663,1.323,"East River Marsh,
 Connecticut",Total Component
0.22212577262342648,-0.01940576358167776,0.46221224857982635,0.14060363136638568,0.3054165045708275,1.356,"East River Marsh,
 Connecticut",Total Component
0.21954108328872507,-0.022142854273541825,0.4591993962293974,0.13856756161183315,0.3028023809879542,1.357,"East River Marsh,
 Connecticut",Total Component
-0.19267147856610098,-0.43186712704601454,0.055788387033566283,-0.2764497314437391,-0.11118069281033668,1.485,"East River Marsh,
 Connecticut",Total Component
-0.11309776772242087,-0.3185380491653977,0.10328312352345387,-0.18721930835241435,-0.042222504879573124,1.541,"East River Marsh,
 Connecticut",Total Component
0.2614085202516326,0.11883869704062928,0.40249176296008593,0.21259771910794784,0.3111825636929768,1.736,"East River Marsh,
 Connecticut",Total Component
0.3806560083647784,0.18711937338898232,0.560907332815832,0.31623077924040666,0.44445110369976615,1.802,"East River Marsh,
 Connecticut",Total Component
0.41365788907914186,0.22454561027161574,0.5909598750808173,0.35211162154285836,0.4755005031699137,1.809,"East River Marsh,
 Connecticut",Total Component
0.41365788907914186,0.22454561027161574,0.5909598750808173,0.35211162154285836,0.4755005031699137,1.809,"East River Marsh,
 Connecticut",Total Component
0.4505633571627421,0.2672901796690379,0.6206922330663698,0.39024616869366546,0.510814990096307,1.816,"East River Marsh,
 Connecticut",Total Component
1.6716845463471501,1.1243733450450006,2.224903316134636,1.4778372219259506,1.861166839574048,2.002,"Nassau,
 Florida",Total Component
1.5219406295992242,1.0329300425346837,2.004853512068334,1.3507052441707423,1.688805618575048,1.99,"Nassau,
 Florida",Total Component
1.4005871323075076,0.9606496060998796,1.8512578171006462,1.2423221904208255,1.5507140248628193,1.98,"Nassau,
 Florida",Total Component
1.3292731139317122,0.9076913644273964,1.7599724052979555,1.1760180485938343,1.4739560847568463,1.974,"Nassau,
 Florida",Total Component
1.2129132166374392,0.815653200439464,1.6241273054345897,1.0713260884119533,1.3517394435944141,1.964,"Nassau,
 Florida",Total Component
0.9037092242049679,0.5307919350494824,1.2831274209839962,0.7773403074620935,1.0307572103564675,1.936,"Nassau,
 Florida",Total Component
0.73800714852364,0.37880314118181624,1.100237879486373,0.6166762965411772,0.8577238735244839,1.92,"Nassau,
 Florida",Total Component
0.5995719322991216,0.25421050746529633,0.9478677136392487,0.4825041097813336,0.7148014680644346,1.906,"Nassau,
 Florida",Total Component
0.5044348349939762,0.17266282844160769,0.8352944572092783,0.39328468524600646,0.6150281278040436,1.896,"Nassau,
 Florida",Total Component
0.3675810640332617,0.06478545114585157,0.6764053826709794,0.2641821521898846,0.47174689995455393,1.881,"Nassau,
 Florida",Total Component
0.2720147217823376,-0.008966549497114498,0.5570283589153694,0.17715950617544998,0.37024498249809706,1.87,"Nassau,
 Florida",Total Component
0.17530601959348385,-0.08835822494970058,0.4505971250397273,0.08637650785391227,0.26778526482960496,1.858,"Nassau,
 Florida",Total Component
-0.020548606899283756,-0.21676986566322357,0.17254837629328826,-0.08666287225090093,0.045554225576758464,1.68,"Nassau,
 Florida",Total Component
