RSL,upr,lwr,Age,ID
0.025343029801287983,0.12170021190372872,-0.07519205923885924,-0.993,Regional Grid Component
0.027004182167814843,0.12003174655616762,-0.06880614106910471,-0.983,Regional Grid Component
0.02881466685423735,0.11885378718439477,-0.0637762325642905,-0.973,Regional Grid Component
0.030742788483510794,0.11747803677130861,-0.059992788605831154,-0.963,Regional Grid Component
0.03275685167859044,0.11638976995811663,-0.054753060038573255,-0.953,Regional Grid Component
0.03482516106243159,0.11688580416504034,-0.0513782203269409,-0.943,Regional Grid Component
0.0369160212579895,0.11734078981103209,-0.04698623291088828,-0.933,Regional Grid Component
0.03899773688821949,0.11729758845282501,-0.042779371032253995,-0.923,Regional Grid Component
0.04103861257607684,0.11742697828948748,-0.037786431574017225,-0.913,Regional Grid Component
0.04300695294451683,0.1174098609886858,-0.03433918861655929,-0.903,Regional Grid Component
0.044871062616494733,0.11826324739482608,-0.030894078322443876,-0.893,Regional Grid Component
0.04659924621496585,0.11875119661752517,-0.027700479622820545,-0.883,Regional Grid Component
0.04815980836288545,0.11869573800113173,-0.024558749320005298,-0.873,Regional Grid Component
0.049521053683208825,0.1192301004634535,-0.02161669215896021,-0.863,Regional Grid Component
0.05065128679889127,0.11951752516959199,-0.019829147672546486,-0.853,Regional Grid Component
0.05151881233288805,0.11896297788359295,-0.01862168322681811,-0.843,Regional Grid Component
0.05210036718932186,0.11797246608706455,-0.018380833213500144,-0.833,Regional Grid Component
0.0524101543622408,0.11711625315093721,-0.016452346796808893,-0.823,Regional Grid Component
0.0524727788494285,0.11580758673588587,-0.014191811460925574,-0.813,Regional Grid Component
0.05231284605098457,0.11495537661157397,-0.013693825538556742,-0.8029999999999999,Regional Grid Component
0.05195496136700858,0.11461846106543225,-0.013259432873109067,-0.7929999999999999,Regional Grid Component
0.05142373019760013,0.11336855963266644,-0.012856737558397488,-0.783,Regional Grid Component
0.05074375794285882,0.11283114397643747,-0.013364093973770766,-0.773,Regional Grid Component
0.049939650002884244,0.1116632634001614,-0.013062585925175098,-0.763,Regional Grid Component
0.04903601177777597,0.11058707461427046,-0.013741838820434255,-0.753,Regional Grid Component
0.04805744866763361,0.10921868127783066,-0.014023729919270377,-0.743,Regional Grid Component
0.04702856607255676,0.1076753856370952,-0.015313042764905244,-0.733,Regional Grid Component
0.045973969392644996,0.10630210627558478,-0.016517340054707584,-0.723,Regional Grid Component
0.04491826402799793,0.10583467382807571,-0.017016326651630376,-0.713,Regional Grid Component
0.04388605537871516,0.10476089600561973,-0.01755443761410783,-0.7030000000000001,Regional Grid Component
0.042901948844896245,0.1037643398042864,-0.017990740526454833,-0.6930000000000001,Regional Grid Component
0.04198212020923377,0.10308328843541369,-0.01833529237524582,-0.683,Regional Grid Component
0.04110112279952445,0.10197143980492811,-0.018570776818807505,-0.673,Regional Grid Component
0.04022068593835082,0.10025036044702641,-0.018229099696571535,-0.663,Regional Grid Component
0.0393025353536741,0.09914445153336543,-0.019099771669463222,-0.653,Regional Grid Component
0.03830839677345561,0.09766113715196315,-0.019788509141982373,-0.643,Regional Grid Component
0.037199995925656586,0.09639238592165436,-0.01958870121299987,-0.633,Regional Grid Component
0.03593905853823828,0.09478441732599618,-0.02051532093876099,-0.623,Regional Grid Component
0.03448731033916198,0.0922195806512685,-0.02182233649838645,-0.613,Regional Grid Component
0.03280647705638894,0.0895503022089296,-0.022991128569437667,-0.603,Regional Grid Component
0.030858284417880414,0.08719883345897816,-0.025140406615874817,-0.593,Regional Grid Component
0.028604458151597675,0.08456202726496295,-0.02821737123208928,-0.583,Regional Grid Component
0.02600672398550198,0.08155154211408865,-0.030835638692347195,-0.573,Regional Grid Component
0.023026807647554604,0.07861023458704346,-0.03348026797622564,-0.563,Regional Grid Component
0.019626434865716795,0.07468878177114638,-0.03672812052236915,-0.5529999999999999,Regional Grid Component
0.015767331367949826,0.07006404005296117,-0.040159026156683944,-0.5429999999999999,Regional Grid Component
0.011427565336632386,0.06439149056807976,-0.043546218964154546,-0.5329999999999999,Regional Grid Component
0.006674958002200298,0.059021022163402714,-0.04745782901077721,-0.5229999999999999,Regional Grid Component
0.0016079814060526829,0.053036770647078096,-0.051705437903561205,-0.513,Regional Grid Component
-0.003674866021828303,0.04684674672937449,-0.05574973483441928,-0.503,Regional Grid Component
-0.009075085851460357,0.040365886130155806,-0.05987334056387541,-0.493,Regional Grid Component
